Redshift,K-band mag,K-band dmag
 0.164, 21.930, 0.718
 0.159, 17.427, 0.016
 0.196, 19.331, 0.089
 0.067, 20.686, 0.283
 0.167, 15.545, 0.003
 0.173, 17.970, 0.026
 0.156, 18.947, 0.063
 0.154, 14.559, 0.001
 0.092, 19.708, 0.124
 0.164, 21.568, 0.558
 0.180, 19.209, 0.080
 0.197, 21.459, 0.515
 0.069, 17.093, 0.012
 0.096, 20.893, 0.334
 0.149, 21.323, 0.466
 0.117, 18.560, 0.045
 0.044, 19.941, 0.152
 0.104, 21.826, 0.669
 0.196, 18.550, 0.044
 0.199, 18.654, 0.049
 0.186, 21.192, 0.422
 0.197, 21.126, 0.401
 0.131, 21.617, 0.578
 0.146, 19.378, 0.093
 0.087, 20.509, 0.245
 0.115, 21.560, 0.555
 0.109, 21.531, 0.543
 0.084, 20.876, 0.330
 0.139, 21.581, 0.563
 0.159, 21.168, 0.414
 0.179, 21.932, 0.719
 0.199, 19.259, 0.084
 0.150, 18.241, 0.034
 0.198, 21.019, 0.369
 0.050, 18.086, 0.029
 0.097, 18.497, 0.042
 0.184, 19.421, 0.097
 0.075, 20.140, 0.180
 0.176, 20.175, 0.185
 0.135, 21.733, 0.627
 0.175, 20.907, 0.338
 0.121, 18.734, 0.052
 0.171, 21.593, 0.568
 0.186, 20.777, 0.305
 0.182, 20.731, 0.294
 0.125, 20.925, 0.343
 0.143, 18.038, 0.028
 0.170, 21.805, 0.659
 0.032, 21.454, 0.514
 0.075, 21.984, 0.745
 0.080, 21.345, 0.474
 0.127, 21.824, 0.668
 0.142, 19.116, 0.074
 0.126, 21.375, 0.485
 0.102, 20.135, 0.179
 0.130, 21.664, 0.598
 0.054, 21.545, 0.549
 0.099, 19.058, 0.070
 0.149, 21.838, 0.675
 0.132, 20.346, 0.214
 0.148, 18.920, 0.062
 0.119, 21.674, 0.602
 0.165, 20.079, 0.171
 0.194, 21.751, 0.635
 0.144, 21.349, 0.475
 0.183, 19.892, 0.146
 0.141, 20.168, 0.184
 0.156, 19.655, 0.118
 0.186, 20.062, 0.168
 0.154, 20.228, 0.194
 0.079, 21.733, 0.627
 0.132, 20.835, 0.319
 0.019, 15.039, 0.002
 0.158, 19.814, 0.136
 0.112, 21.844, 0.677
 0.082, 21.978, 0.742
 0.182, 20.445, 0.233
 0.133, 20.537, 0.251
 0.192, 16.986, 0.011
 0.058, 21.919, 0.713
 0.195, 16.585, 0.007
 0.156, 18.588, 0.046
 0.153, 20.351, 0.215
 0.141, 21.690, 0.608
 0.143, 21.116, 0.398
 0.119, 21.794, 0.655
 0.149, 21.545, 0.549
 0.183, 19.330, 0.089
 0.173, 20.821, 0.316
 0.185, 18.020, 0.027
 0.090, 15.754, 0.003
 0.174, 21.324, 0.466
 0.179, 21.288, 0.454
 0.165, 20.005, 0.160
 0.124, 20.920, 0.342
 0.078, 21.902, 0.705
 0.185, 21.515, 0.537
 0.154, 19.717, 0.125
 0.124, 18.795, 0.055
 0.145, 21.747, 0.633
 0.104, 19.407, 0.095
 0.085, 20.791, 0.308
 0.188, 21.695, 0.611
 0.167, 21.935, 0.721
 0.096, 15.103, 0.002
 0.138, 21.959, 0.732
 0.148, 21.953, 0.729
 0.135, 21.619, 0.579
 0.161, 21.826, 0.669
 0.079, 21.651, 0.592
 0.120, 19.739, 0.128
 0.191, 16.768, 0.009
 0.181, 21.121, 0.400
 0.152, 21.155, 0.410
 0.189, 20.098, 0.174
 0.195, 16.936, 0.010
 0.176, 20.865, 0.327
 0.161, 18.722, 0.052
 0.089, 18.427, 0.040
 0.020, 11.862, 0.000
 0.044, 20.264, 0.200
 0.095, 20.928, 0.344
 0.143, 19.681, 0.121
 0.130, 21.752, 0.636
 0.142, 21.674, 0.602
 0.153, 19.188, 0.079
 0.152, 20.864, 0.327
 0.153, 20.485, 0.240
 0.185, 21.506, 0.534
 0.112, 15.186, 0.002
 0.093, 19.910, 0.148
 0.153, 21.417, 0.500
 0.110, 21.037, 0.375
 0.129, 21.568, 0.558
 0.093, 18.945, 0.063
 0.148, 19.223, 0.081
 0.181, 19.556, 0.109
 0.133, 21.912, 0.709
 0.112, 21.416, 0.499
 0.182, 21.564, 0.557
 0.044, 13.335, 0.000
 0.189, 21.817, 0.665
 0.155, 21.431, 0.505
 0.121, 20.819, 0.315
 0.155, 21.482, 0.524
 0.073, 18.743, 0.053
 0.198, 18.666, 0.049
 0.200, 18.850, 0.058
 0.160, 20.833, 0.319
 0.078, 21.919, 0.713
 0.184, 21.168, 0.414
 0.184, 19.022, 0.068
 0.142, 20.253, 0.198
 0.105, 19.097, 0.072
 0.108, 20.964, 0.354
 0.149, 17.903, 0.025
 0.165, 19.998, 0.159
 0.136, 18.933, 0.063
 0.055, 19.060, 0.070
 0.174, 21.630, 0.583
 0.102, 20.159, 0.183
 0.190, 19.224, 0.081
 0.183, 20.604, 0.265
 0.121, 20.714, 0.290
 0.162, 21.092, 0.391
 0.142, 19.707, 0.124
 0.085, 17.657, 0.020
 0.177, 20.456, 0.235
 0.083, 20.295, 0.205
 0.191, 21.535, 0.545
 0.175, 21.036, 0.374
 0.174, 21.128, 0.402
 0.120, 16.635, 0.008
 0.184, 19.656, 0.119
 0.159, 19.642, 0.117
 0.124, 18.164, 0.031
 0.138, 20.173, 0.185
 0.183, 20.373, 0.219
 0.154, 18.944, 0.063
 0.156, 13.674, 0.001
 0.147, 15.196, 0.002
 0.148, 20.317, 0.209
 0.137, 14.430, 0.001
 0.096, 15.228, 0.002
 0.148, 19.175, 0.078
 0.153, 20.890, 0.334
 0.194, 21.693, 0.610
 0.087, 18.394, 0.039
 0.154, 22.000, 0.753
 0.130, 19.616, 0.115
 0.163, 18.779, 0.055
 0.131, 20.989, 0.361
 0.136, 21.774, 0.645
 0.067, 21.893, 0.701
 0.079, 21.973, 0.739
 0.175, 19.755, 0.129
 0.146, 20.633, 0.271
 0.138, 21.871, 0.690
 0.141, 18.713, 0.051
 0.098, 17.631, 0.019
 0.176, 19.142, 0.075
 0.130, 16.990, 0.011
 0.174, 21.498, 0.531
 0.114, 21.547, 0.550
 0.094, 17.352, 0.015
 0.162, 18.519, 0.043
 0.158, 20.299, 0.206
 0.174, 18.905, 0.061
 0.130, 12.733, 0.000
 0.084, 19.653, 0.118
 0.181, 18.773, 0.054
 0.050, 20.885, 0.332
 0.171, 21.121, 0.400
 0.155, 20.048, 0.166
 0.182, 19.918, 0.149
 0.183, 21.940, 0.723
 0.192, 20.663, 0.278
 0.067, 19.302, 0.087
 0.183, 18.021, 0.027
 0.140, 19.920, 0.149
 0.060, 16.808, 0.009
 0.146, 20.329, 0.211
 0.173, 21.659, 0.595
 0.198, 19.352, 0.091
 0.171, 17.276, 0.014
 0.175, 17.786, 0.022
 0.198, 18.806, 0.056
 0.123, 21.444, 0.510
 0.026, 15.350, 0.002
 0.082, 15.480, 0.003
 0.153, 15.906, 0.004
 0.041, 14.839, 0.001
 0.126, 19.256, 0.083
 0.162, 18.518, 0.043
 0.148, 18.494, 0.042
 0.056, 20.512, 0.246
 0.045, 21.152, 0.409
 0.087, 20.527, 0.249
 0.165, 21.824, 0.668
 0.133, 21.485, 0.525
 0.109, 20.929, 0.344
 0.127, 13.405, 0.000
 0.119, 20.128, 0.178
 0.119, 21.793, 0.654
 0.180, 19.570, 0.110
 0.068, 21.805, 0.659
 0.154, 21.209, 0.428
 0.147, 20.846, 0.322
 0.158, 18.165, 0.031
 0.120, 20.361, 0.217
 0.141, 18.587, 0.046
 0.155, 20.384, 0.221
 0.080, 16.892, 0.010
 0.098, 21.450, 0.512
 0.086, 14.820, 0.001
 0.159, 17.234, 0.013
 0.169, 21.866, 0.688
 0.124, 19.971, 0.156
 0.117, 19.810, 0.136
 0.122, 19.713, 0.125
 0.079, 20.962, 0.353
 0.116, 21.793, 0.654
 0.123, 19.784, 0.133
 0.108, 21.672, 0.601
 0.185, 21.610, 0.575
 0.111, 21.536, 0.545
 0.194, 20.911, 0.339
 0.190, 15.419, 0.003
 0.049, 21.248, 0.441
 0.115, 21.460, 0.516
 0.162, 18.929, 0.062
 0.112, 21.492, 0.528
 0.113, 21.073, 0.385
 0.078, 20.232, 0.195
 0.088, 17.901, 0.025
 0.094, 20.981, 0.359
 0.195, 21.775, 0.646
 0.146, 18.305, 0.036
 0.089, 19.566, 0.110
 0.193, 21.256, 0.443
 0.052, 18.812, 0.056
 0.079, 21.350, 0.475
 0.031, 20.784, 0.307
 0.135, 20.561, 0.256
 0.123, 18.806, 0.056
 0.141, 20.481, 0.239
 0.192, 21.671, 0.600
 0.046, 21.099, 0.393
 0.198, 17.446, 0.016
 0.185, 20.463, 0.236
 0.139, 20.314, 0.208
 0.187, 18.262, 0.034
 0.166, 15.465, 0.003
 0.117, 13.718, 0.001
 0.093, 17.845, 0.023
 0.144, 21.072, 0.385
 0.165, 20.060, 0.168
 0.077, 17.394, 0.015
 0.111, 20.629, 0.270
 0.199, 20.333, 0.212
 0.113, 21.775, 0.646
 0.182, 19.724, 0.126
 0.076, 21.914, 0.710
 0.073, 19.111, 0.073
 0.192, 21.471, 0.520
 0.141, 18.975, 0.065
 0.173, 15.610, 0.003
 0.107, 21.995, 0.750
 0.046, 17.021, 0.011
 0.129, 17.277, 0.014
 0.178, 19.716, 0.125
 0.111, 21.561, 0.555
 0.162, 21.461, 0.516
 0.177, 21.889, 0.699
 0.144, 17.758, 0.022
 0.192, 21.144, 0.407
 0.131, 21.590, 0.567
 0.171, 21.925, 0.716
 0.096, 16.036, 0.004
 0.058, 20.139, 0.180
 0.085, 21.745, 0.632
 0.146, 21.069, 0.384
 0.086, 20.539, 0.251
 0.110, 20.023, 0.163
 0.156, 18.632, 0.048
 0.172, 19.360, 0.091
 0.157, 20.485, 0.240
 0.071, 18.996, 0.066
 0.169, 15.063, 0.002
 0.138, 20.638, 0.273
 0.098, 16.309, 0.006
 0.195, 18.243, 0.034
 0.155, 21.677, 0.603
 0.169, 19.742, 0.128
 0.096, 21.517, 0.538
 0.078, 19.836, 0.139
 0.049, 20.725, 0.292
 0.170, 21.560, 0.555
 0.167, 18.722, 0.052
 0.148, 19.134, 0.075
 0.123, 19.669, 0.120
 0.033, 21.078, 0.387
 0.170, 20.772, 0.304
 0.065, 20.748, 0.298
 0.149, 19.320, 0.088
 0.068, 21.486, 0.526
 0.156, 17.816, 0.023
 0.188, 21.800, 0.657
 0.159, 21.611, 0.575
 0.122, 21.837, 0.674
 0.147, 21.291, 0.455
 0.193, 17.827, 0.023
 0.188, 17.989, 0.027
 0.181, 20.704, 0.287
 0.189, 16.966, 0.010
 0.160, 18.515, 0.043
 0.125, 21.141, 0.406
 0.171, 21.336, 0.470
 0.116, 21.928, 0.717
 0.071, 20.373, 0.219
 0.151, 20.663, 0.278
 0.090, 21.452, 0.513
 0.129, 18.259, 0.034
 0.071, 18.937, 0.063
 0.131, 18.536, 0.044
 0.150, 20.635, 0.272
 0.058, 19.187, 0.078
 0.073, 21.029, 0.372
 0.164, 19.881, 0.144
 0.155, 20.007, 0.161
 0.067, 20.258, 0.199
 0.051, 19.080, 0.071
 0.039, 21.897, 0.702
 0.117, 21.093, 0.391
 0.125, 20.249, 0.197
 0.094, 17.132, 0.012
 0.160, 14.750, 0.001
 0.195, 19.697, 0.123
 0.036, 19.919, 0.149
 0.103, 21.460, 0.516
 0.170, 21.945, 0.725
 0.183, 17.211, 0.013
 0.048, 21.735, 0.628
 0.183, 20.283, 0.203
 0.157, 21.907, 0.707
 0.089, 19.072, 0.071
 0.082, 19.420, 0.096
 0.095, 21.785, 0.650
 0.185, 19.844, 0.140
 0.198, 19.759, 0.130
 0.153, 19.475, 0.101
 0.179, 21.409, 0.497
 0.197, 21.859, 0.684
 0.148, 21.114, 0.398
 0.124, 21.986, 0.746
 0.196, 20.540, 0.251
 0.166, 18.861, 0.059
 0.097, 21.729, 0.626
 0.141, 19.878, 0.144
 0.090, 12.187, 0.000
 0.199, 21.937, 0.721
 0.109, 11.851, 0.000
 0.151, 18.851, 0.058
 0.064, 19.884, 0.145
 0.150, 20.847, 0.322
 0.149, 19.506, 0.104
 0.178, 16.452, 0.007
 0.192, 15.927, 0.004
 0.130, 20.902, 0.337
 0.145, 19.880, 0.144
 0.168, 19.458, 0.100
 0.168, 13.921, 0.001
 0.159, 21.087, 0.389
 0.091, 21.935, 0.721
 0.094, 20.426, 0.229
 0.048, 18.450, 0.041
 0.189, 19.808, 0.135
 0.110, 20.140, 0.180
 0.183, 21.607, 0.574
 0.081, 20.568, 0.257
 0.178, 18.632, 0.048
 0.071, 21.814, 0.664
 0.139, 21.910, 0.708
 0.123, 18.789, 0.055
 0.103, 17.011, 0.011
 0.103, 19.378, 0.093
 0.093, 21.824, 0.668
 0.174, 20.484, 0.240
 0.091, 21.627, 0.582
 0.188, 19.562, 0.109
 0.162, 18.313, 0.036
 0.167, 20.773, 0.304
 0.145, 15.713, 0.003
 0.193, 21.995, 0.750
 0.065, 18.994, 0.066
 0.069, 21.742, 0.631
 0.175, 20.217, 0.192
 0.191, 18.551, 0.044
 0.147, 13.477, 0.000
 0.099, 21.100, 0.393
 0.140, 18.229, 0.033
 0.109, 19.078, 0.071
 0.189, 21.784, 0.650
 0.048, 17.905, 0.025
 0.141, 18.260, 0.034
 0.146, 20.074, 0.170
 0.133, 20.080, 0.171
 0.074, 17.672, 0.020
 0.151, 21.334, 0.470
 0.165, 21.921, 0.714
 0.158, 21.025, 0.371
 0.170, 14.821, 0.001
 0.015, 12.710, 0.000
 0.149, 21.176, 0.417
 0.095, 17.725, 0.021
 0.169, 20.707, 0.288
 0.186, 19.677, 0.121
 0.085, 21.079, 0.387
 0.115, 16.441, 0.006
 0.195, 19.763, 0.130
 0.097, 19.064, 0.070
 0.180, 21.686, 0.607
 0.191, 21.001, 0.364
 0.200, 21.591, 0.567
 0.129, 21.474, 0.521
 0.140, 21.688, 0.608
 0.070, 19.872, 0.143
 0.153, 21.136, 0.404
 0.195, 17.897, 0.025
 0.158, 21.665, 0.598
 0.088, 20.873, 0.329
 0.161, 20.636, 0.272
 0.184, 18.684, 0.050
 0.190, 21.418, 0.500
 0.164, 15.069, 0.002
 0.139, 21.431, 0.505
 0.144, 19.146, 0.076
 0.115, 21.482, 0.524
 0.157, 19.103, 0.073
 0.118, 18.782, 0.055
 0.025, 20.285, 0.203
 0.141, 20.921, 0.342
 0.190, 20.271, 0.201
 0.172, 21.410, 0.497
 0.182, 20.864, 0.327
 0.196, 19.403, 0.095
 0.046, 19.168, 0.077
 0.085, 20.969, 0.355
 0.088, 18.827, 0.057
 0.163, 15.500, 0.003
 0.189, 21.749, 0.634
 0.173, 15.599, 0.003
 0.195, 21.517, 0.538
 0.105, 18.408, 0.039
 0.183, 19.972, 0.156
 0.106, 21.550, 0.551
 0.168, 20.425, 0.229
 0.075, 20.098, 0.174
 0.152, 21.671, 0.600
 0.123, 21.402, 0.494
 0.063, 21.772, 0.644
 0.193, 18.971, 0.065
 0.067, 21.226, 0.433
 0.166, 19.405, 0.095
 0.175, 21.879, 0.694
 0.177, 19.534, 0.107
 0.150, 19.411, 0.096
 0.132, 20.636, 0.272
 0.166, 19.677, 0.121
 0.126, 19.142, 0.075
 0.044, 18.489, 0.042
 0.152, 17.630, 0.019
 0.151, 21.707, 0.616
 0.143, 19.320, 0.088
 0.072, 19.766, 0.131
 0.196, 21.511, 0.535
 0.164, 21.190, 0.421
 0.089, 21.856, 0.683
 0.095, 20.109, 0.175
 0.081, 21.939, 0.722
 0.046, 20.185, 0.187
 0.134, 21.137, 0.405
 0.059, 20.249, 0.197
 0.152, 21.871, 0.690
 0.131, 18.798, 0.055
 0.120, 21.138, 0.405
 0.188, 21.677, 0.603
 0.200, 21.936, 0.721
 0.140, 20.043, 0.166
 0.112, 19.119, 0.074
 0.071, 21.600, 0.571
 0.157, 21.017, 0.369
 0.192, 19.830, 0.138
 0.132, 21.015, 0.368
 0.100, 21.312, 0.462
 0.137, 16.674, 0.008
 0.195, 21.625, 0.581
 0.149, 21.821, 0.667
 0.194, 18.643, 0.048
 0.192, 21.593, 0.568
 0.084, 20.441, 0.232
 0.080, 19.602, 0.113
 0.145, 19.418, 0.096
 0.101, 19.504, 0.104
 0.095, 19.181, 0.078
 0.021, 20.396, 0.223
 0.075, 21.398, 0.493
 0.182, 20.079, 0.171
 0.142, 19.049, 0.069
 0.178, 21.133, 0.403
 0.107, 21.504, 0.533
 0.162, 21.338, 0.471
 0.112, 16.308, 0.006
 0.138, 21.618, 0.578
 0.185, 20.489, 0.241
 0.088, 21.901, 0.704
 0.163, 19.996, 0.159
 0.085, 18.799, 0.055
 0.120, 18.360, 0.037
 0.068, 13.639, 0.000
 0.108, 21.283, 0.452
 0.176, 21.097, 0.392
 0.142, 20.661, 0.278
 0.167, 21.586, 0.565
 0.097, 20.978, 0.358
 0.043, 17.046, 0.011
 0.153, 21.414, 0.499
 0.098, 19.298, 0.087
 0.167, 19.133, 0.075
 0.164, 19.184, 0.078
 0.179, 21.645, 0.589
 0.174, 21.545, 0.549
 0.191, 21.727, 0.625
 0.090, 18.053, 0.028
 0.179, 21.071, 0.385
 0.148, 20.457, 0.235
 0.081, 21.096, 0.392
 0.160, 19.359, 0.091
 0.041, 20.148, 0.181
 0.155, 20.221, 0.193
 0.142, 19.473, 0.101
 0.101, 18.386, 0.038
 0.077, 21.851, 0.680
 0.157, 18.471, 0.041
 0.127, 21.528, 0.542
 0.172, 19.486, 0.102
 0.156, 21.939, 0.722
 0.199, 21.372, 0.483
 0.192, 17.895, 0.024
 0.105, 18.310, 0.036
 0.199, 18.348, 0.037
 0.066, 21.994, 0.750
 0.183, 21.690, 0.609
 0.053, 21.196, 0.423
 0.095, 20.542, 0.252
 0.187, 21.770, 0.644
 0.151, 21.998, 0.752
 0.094, 20.296, 0.205
 0.099, 19.474, 0.101
 0.184, 19.066, 0.070
 0.192, 21.902, 0.704
 0.192, 20.835, 0.319
 0.134, 19.219, 0.081
 0.137, 21.470, 0.520
 0.193, 20.931, 0.345
 0.044, 20.937, 0.346
 0.163, 21.600, 0.571
 0.121, 19.013, 0.067
 0.171, 21.268, 0.447
 0.200, 20.754, 0.299
 0.151, 21.811, 0.662
 0.132, 18.586, 0.046
 0.095, 19.263, 0.084
 0.159, 20.361, 0.217
 0.116, 19.965, 0.155
 0.174, 15.684, 0.003
 0.187, 19.048, 0.069
 0.122, 16.744, 0.009
 0.152, 20.670, 0.280
 0.131, 18.063, 0.029
 0.197, 20.880, 0.331
 0.141, 18.825, 0.057
 0.109, 21.315, 0.463
 0.094, 18.602, 0.046
 0.163, 16.641, 0.008
 0.063, 21.992, 0.748
 0.151, 20.859, 0.326
 0.199, 21.965, 0.735
 0.195, 21.304, 0.460
 0.177, 16.241, 0.005
 0.184, 20.506, 0.244
 0.172, 19.278, 0.085
 0.195, 21.616, 0.578
 0.165, 19.842, 0.139
 0.049, 18.640, 0.048
 0.136, 20.463, 0.236
 0.157, 21.055, 0.380
 0.192, 21.609, 0.575
 0.048, 21.028, 0.372
 0.100, 20.112, 0.176
 0.128, 19.958, 0.154
 0.178, 20.841, 0.321
 0.078, 21.852, 0.681
 0.108, 19.231, 0.082
 0.088, 21.616, 0.577
 0.168, 21.128, 0.402
 0.162, 19.053, 0.070
 0.101, 21.776, 0.646
 0.109, 13.812, 0.001
 0.198, 19.894, 0.146
 0.175, 19.075, 0.071
 0.053, 21.872, 0.690
 0.188, 18.465, 0.041
 0.158, 21.493, 0.529
 0.095, 21.482, 0.524
 0.160, 21.324, 0.466
 0.159, 17.640, 0.019
 0.152, 21.244, 0.439
 0.060, 17.333, 0.015
 0.178, 21.841, 0.676
 0.103, 19.587, 0.112
 0.118, 19.586, 0.112
 0.197, 21.863, 0.686
 0.165, 15.875, 0.004
 0.068, 14.243, 0.001
 0.142, 20.017, 0.162
 0.118, 21.117, 0.399
 0.143, 21.317, 0.464
 0.179, 21.162, 0.412
 0.116, 19.686, 0.122
 0.050, 21.833, 0.672
 0.146, 19.729, 0.126
 0.118, 20.343, 0.214
 0.085, 15.379, 0.002
 0.196, 17.717, 0.021
 0.071, 21.897, 0.702
 0.185, 20.862, 0.326
 0.198, 18.649, 0.048
 0.144, 19.756, 0.129
 0.169, 20.567, 0.257
 0.153, 18.312, 0.036
 0.145, 18.925, 0.062
 0.117, 18.210, 0.033
 0.152, 20.720, 0.291
 0.182, 21.935, 0.721
 0.094, 19.409, 0.096
 0.074, 19.465, 0.100
 0.072, 18.344, 0.037
 0.101, 21.409, 0.497
 0.062, 21.140, 0.406
 0.161, 21.712, 0.618
 0.137, 19.916, 0.149
 0.191, 19.260, 0.084
 0.050, 20.196, 0.189
 0.067, 20.668, 0.279
 0.192, 19.911, 0.148
 0.168, 21.894, 0.701
 0.122, 20.956, 0.352
 0.149, 18.199, 0.032
 0.089, 19.207, 0.080
 0.159, 21.417, 0.500
 0.080, 19.599, 0.113
 0.182, 15.362, 0.002
 0.089, 19.360, 0.091
 0.103, 19.851, 0.140
 0.156, 20.754, 0.299
 0.197, 19.307, 0.087
 0.193, 20.204, 0.190
 0.080, 21.864, 0.686
 0.125, 21.959, 0.732
 0.101, 21.279, 0.451
 0.146, 17.546, 0.018
 0.105, 21.802, 0.658
 0.169, 21.692, 0.609
 0.127, 21.539, 0.546
 0.053, 20.573, 0.258
 0.064, 16.890, 0.010
 0.130, 14.706, 0.001
 0.110, 21.346, 0.474
 0.092, 20.297, 0.205
 0.167, 20.646, 0.274
 0.088, 18.841, 0.058
 0.135, 19.847, 0.140
 0.157, 21.274, 0.449
 0.168, 20.557, 0.255
 0.139, 21.548, 0.550
 0.056, 17.335, 0.015
 0.180, 21.639, 0.587
 0.101, 13.898, 0.001
 0.134, 21.673, 0.601
 0.148, 21.578, 0.562
 0.160, 20.574, 0.258
 0.157, 17.119, 0.012
 0.114, 20.758, 0.300
 0.093, 18.419, 0.039
 0.080, 20.609, 0.266
 0.187, 20.885, 0.332
 0.148, 17.898, 0.025
 0.162, 21.277, 0.450
 0.188, 18.162, 0.031
 0.161, 21.537, 0.545
 0.070, 19.216, 0.081
 0.086, 19.722, 0.126
 0.105, 21.875, 0.692
 0.130, 20.030, 0.164
 0.193, 21.693, 0.610
 0.164, 21.817, 0.665
 0.110, 17.143, 0.012
 0.173, 18.195, 0.032
 0.177, 19.272, 0.085
 0.105, 21.834, 0.673
 0.151, 20.745, 0.297
 0.097, 20.905, 0.338
 0.179, 20.727, 0.293
 0.137, 21.342, 0.473
 0.183, 20.993, 0.362
 0.057, 18.554, 0.045
 0.077, 21.032, 0.373
 0.135, 21.271, 0.448
 0.040, 19.810, 0.136
 0.116, 15.294, 0.002
 0.197, 21.877, 0.693
 0.168, 20.489, 0.241
 0.145, 21.654, 0.593
 0.136, 21.129, 0.402
 0.164, 16.815, 0.009
 0.041, 19.183, 0.078
 0.068, 19.502, 0.104
 0.185, 16.342, 0.006
 0.125, 21.105, 0.395
 0.171, 21.442, 0.509
 0.194, 21.254, 0.442
 0.067, 21.950, 0.728
 0.190, 15.409, 0.003
 0.121, 19.591, 0.112
 0.186, 20.335, 0.212
 0.148, 17.849, 0.023
 0.142, 21.645, 0.590
 0.183, 20.387, 0.222
 0.156, 19.016, 0.067
 0.169, 19.977, 0.157
 0.114, 20.827, 0.317
 0.148, 21.478, 0.523
 0.165, 21.614, 0.577
 0.151, 21.950, 0.728
 0.195, 21.404, 0.495
 0.188, 21.991, 0.748
 0.116, 21.618, 0.578
 0.118, 18.777, 0.054
 0.116, 20.824, 0.317
 0.063, 20.366, 0.218
 0.187, 20.588, 0.261
 0.138, 21.644, 0.589
 0.032, 20.314, 0.208
 0.112, 15.991, 0.004
 0.095, 20.793, 0.309
 0.196, 21.222, 0.432
 0.112, 18.287, 0.035
 0.056, 21.568, 0.558
 0.118, 20.477, 0.239
 0.040, 21.639, 0.587
 0.109, 21.626, 0.582
 0.040, 20.433, 0.230
 0.071, 13.345, 0.000
 0.147, 20.454, 0.234
 0.171, 21.397, 0.492
 0.178, 20.567, 0.257
 0.153, 19.886, 0.145
 0.189, 21.955, 0.730
 0.188, 21.209, 0.428
 0.125, 21.697, 0.612
 0.198, 21.994, 0.750
 0.166, 21.137, 0.405
 0.153, 16.461, 0.007
 0.188, 21.064, 0.383
 0.106, 21.180, 0.418
 0.155, 20.292, 0.205
 0.155, 21.618, 0.578
 0.155, 20.725, 0.292
 0.075, 15.467, 0.003
 0.197, 21.696, 0.611
 0.184, 17.504, 0.017
 0.125, 19.388, 0.094
 0.148, 21.696, 0.611
 0.139, 19.933, 0.151
 0.181, 21.792, 0.654
 0.154, 16.608, 0.008
 0.071, 20.254, 0.198
 0.142, 21.262, 0.445
 0.193, 20.041, 0.165
 0.113, 19.754, 0.129
 0.177, 19.350, 0.091
 0.192, 21.999, 0.752
 0.189, 21.457, 0.515
 0.129, 18.693, 0.050
 0.072, 21.331, 0.469
 0.151, 18.077, 0.029
 0.075, 19.291, 0.086
 0.072, 21.860, 0.685
 0.167, 19.539, 0.107
 0.140, 19.141, 0.075
 0.086, 17.697, 0.020
 0.144, 19.895, 0.146
 0.188, 16.164, 0.005
 0.048, 21.241, 0.438
 0.186, 21.554, 0.552
 0.177, 21.540, 0.547
 0.167, 18.439, 0.040
 0.120, 15.186, 0.002
 0.072, 21.902, 0.705
 0.133, 20.885, 0.332
 0.162, 21.110, 0.396
 0.057, 21.765, 0.642
 0.154, 21.657, 0.595
 0.197, 17.046, 0.011
 0.171, 18.330, 0.036
 0.075, 19.322, 0.088
 0.077, 19.611, 0.114
 0.165, 19.834, 0.138
 0.169, 17.848, 0.023
 0.171, 21.498, 0.530
 0.132, 18.615, 0.047
 0.123, 21.516, 0.537
 0.104, 21.989, 0.747
 0.179, 18.391, 0.038
 0.188, 14.909, 0.002
 0.095, 20.897, 0.336
 0.198, 19.941, 0.152
 0.043, 19.634, 0.116
 0.160, 20.882, 0.332
 0.135, 15.621, 0.003
 0.155, 19.504, 0.104
 0.174, 19.602, 0.113
 0.082, 20.857, 0.325
 0.063, 18.172, 0.031
 0.106, 15.409, 0.003
 0.050, 21.436, 0.507
 0.179, 21.739, 0.630
 0.175, 20.661, 0.278
 0.087, 21.504, 0.533
 0.200, 19.062, 0.070
 0.145, 20.732, 0.294
 0.066, 15.033, 0.002
 0.194, 21.238, 0.437
 0.149, 11.734, 0.000
 0.075, 19.688, 0.122
 0.167, 21.786, 0.651
 0.083, 21.540, 0.547
 0.135, 21.504, 0.533
 0.170, 18.618, 0.047
 0.163, 17.223, 0.013
 0.172, 20.949, 0.350
 0.195, 20.061, 0.168
 0.069, 20.836, 0.320
 0.047, 17.811, 0.023
 0.111, 16.427, 0.006
 0.116, 21.637, 0.586
 0.098, 18.336, 0.037
 0.143, 18.251, 0.034
 0.185, 19.787, 0.133
 0.193, 15.522, 0.003
 0.146, 18.748, 0.053
 0.166, 20.523, 0.248
 0.066, 13.471, 0.000
 0.195, 17.665, 0.020
 0.178, 20.831, 0.318
 0.110, 13.059, 0.000
 0.140, 20.486, 0.241
 0.099, 16.763, 0.009
 0.119, 20.722, 0.292
 0.097, 21.013, 0.368
 0.111, 14.950, 0.002
 0.167, 20.906, 0.338
 0.150, 18.115, 0.030
 0.042, 19.832, 0.138
 0.144, 21.548, 0.550
 0.146, 21.224, 0.432
 0.168, 19.437, 0.098
 0.150, 20.752, 0.299
 0.142, 16.023, 0.004
 0.098, 21.052, 0.379
 0.100, 21.112, 0.397
 0.182, 18.882, 0.060
 0.138, 20.959, 0.352
 0.157, 18.099, 0.029
 0.200, 21.477, 0.522
 0.121, 21.970, 0.738
 0.099, 21.708, 0.616
 0.120, 17.440, 0.016
 0.191, 20.477, 0.239
 0.179, 20.252, 0.198
 0.103, 21.104, 0.395
